Date,pH,Alk,DOC,DON,DOC_DON,NO3,NH4,TDP,PO4,SiO2,UTHg,POC,PON,DHP,TDP_DOC,DHP_DOC,UTHg_DOC,Q
2003-06-24,7.7,77.6,5.5,0.10600000000000001,51.886792452830186,0.078,0.016,0.01119,,3.18,,,,,0.0020345454545454547,,,19300.0
2004-03-24,7.5,98.5,3.6,0.10800000000000001,33.33333333333333,0.162,0.0,0.01119,,4.61,,0.57,0.049,,0.003108333333333333,,,3780.0
2004-06-17,7.9,77.7,5.1,0.14400000000000002,35.41666666666666,0.056,0.0,0.01026,,3.94,,3.43,0.354,,0.002011764705882353,,,18300.0
2004-06-22,8.0,77.2,4.6,0.119,38.65546218487395,0.063,0.008,0.009949999999999999,,4.03,,2.53,0.238,,0.0021630434782608696,,,17400.0
2004-07-13,8.2,81.5,3.7,0.05200000000000002,71.15384615384613,0.074,0.044,0.00933,,3.9,,3.07,0.324,,0.0025216216216216213,,,12500.0
2004-08-04,8.4,81.9,3.3,0.07700000000000001,42.85714285714285,0.063,0.0,0.00808,,4.13,,1.73,0.183,,0.0024484848484848487,,,12400.0
2004-08-25,8.4,80.1,3.3,0.10200000000000001,32.35294117647059,0.038,0.0,0.01057,,3.97,,0.07,0.014,,0.003203030303030303,,,8730.0
2004-09-08,7.9,,3.1,0.06,51.66666666666667,0.07,0.0,0.00808,,3.89,,0.11,0.027,,0.0026064516129032256,,,8770.0
2005-03-16,7.7,90.1,4.2,0.1,42.0,0.16,0.0,0.0087,,4.47,,0.17,0.022,,0.0020714285714285713,,,3670.0
2005-06-14,8.1,70.3,5.0,0.068,73.52941176470588,0.122,0.0,0.009640000000000001,,4.05,,,,,0.0019280000000000002,,,25200.0
2005-06-29,8.0,69.4,4.5,0.14,32.14285714285714,0.06,0.0,0.01119,,4.17,,1.68,0.336,,0.0024866666666666665,,,16900.0
2005-07-14,8.1,60.3,5.0,0.124,40.32258064516129,0.056,0.0,0.01088,,3.79,,1.27,0.161,,0.002176,,,16200.0
2005-08-09,8.2,61.3,4.6,0.09699999999999999,47.422680412371136,0.049,0.034,0.0087,,3.91,,1.18,0.209,,0.001891304347826087,,,13500.0
2005-08-30,8.1,84.0,5.7,0.10200000000000001,55.88235294117647,0.05,0.018,0.00777,,3.87,,0.92,0.153,,0.0013631578947368422,,,12300.0
2005-09-13,8.2,90.9,4.6,0.11800000000000002,38.98305084745762,0.052,0.0,0.01088,,3.78,,0.14,0.031,,0.002365217391304348,,,12200.0
2006-08-15,,73.3,4.6,0.121,38.01652892561983,0.042,0.017,0.01088,,4.0,,,,,0.002365217391304348,,,12700.0
2007-03-27,,84.3,5.6,0.07600000000000001,73.68421052631577,0.174,0.0,0.01088,,4.42,,0.22,0.027,,0.001942857142857143,,,2960.0
2009-06-11,8.1,79.8,4.3,0.32,13.4375,0.053,0.007,,0.003,3.5,,2.63,0.257,,,,,24300.0
2009-06-30,7.9,81.5,5.3,0.207,25.603864734299517,0.042,0.001,,0.002,3.7,,3.14,0.333,,,,,20900.0
2009-07-02,7.9,83.2,6.6,0.252,26.19047619047619,0.044,0.004,,0.004,3.5,,2.72,0.302,,,,,21100.0
2009-09-08,8.2,91.6,5.0,0.17900000000000002,27.932960893854744,0.044,0.007,,0.003,3.5,,3.44,0.327,,,,,13800.0
2010-03-25,,102.3,5.1,0.10799999999999998,47.22222222222223,0.123,0.009,,0.003,3.8,,1.26,0.104,,,,,4380.0
2010-06-15,8.0,76.1,4.2,0.192,21.875,0.033,0.005,,0.003,3.2,,1.0,0.189,,,,,16500.0
2010-06-29,,88.3,5.1,0.24500000000000002,20.81632653061224,0.028,0.007,,0.003,3.1,,0.32,0.167,,,,,13000.0
2010-07-02,8.2,89.2,4.5,0.27299999999999996,16.483516483516485,0.022,0.005,,0.003,3.3,,0.87,0.079,,,,,13900.0
2010-08-11,,96.4,5.6,0.313,17.89137380191693,0.024,0.003,,0.003,3.7,,1.31,0.181,,,,,11400.0
2011-03-10,,109.8,4.2,0.212,19.811320754716984,0.158,0.01,,0.007,3.9,,0.2,0.021,,,,,3620.0
2011-06-06,7.8,81.1,8.1,0.17700000000000002,45.762711864406775,0.052,0.001,,0.01,3.3,,4.0,0.657,,,,,21300.0
2011-06-14,,80.2,5.8,0.3,19.333333333333332,0.042,0.008,,0.01,3.1,,4.5,0.301,,,,,17700.0
2011-06-28,7.9,84.4,6.7,0.278,24.10071942446043,0.052,0.0,,0.007,3.4,,1.39,0.157,,,,,18000.0
2011-08-18,8.1,97.7,5.2,0.239,21.75732217573222,0.048,0.003,,0.005,3.6,,1.62,0.205,,,,,14800.0
2012-02-06,7.7,106.6,4.5,0.10400000000000001,43.26923076923077,0.124,0.002,,0.007,4.1,,0.44,0.039,,,,,4250.0
2012-06-07,,79.6,6.9,0.294,23.469387755102044,0.05,0.016,0.011,0.007,3.1,20.979,4.3,0.373,0.003999999999999999,0.0015942028985507246,0.0005797101449275361,3.0404347826086955,22400.0
2012-08-09,,89.4,2.8,0.176,15.909090909090908,0.036,0.008,0.0076,0.005,3.4,6.696,1.44,0.131,0.0026,0.0027142857142857147,0.0009285714285714286,2.3914285714285715,12300.0
2012-10-03,,94.1,3.7,0.17,21.764705882352942,0.052,0.008,0.0076,0.005,3.1,4.139,0.75,0.072,0.0026,0.002054054054054054,0.0007027027027027026,1.1186486486486487,11200.0
2012-11-30,,101.9,4.0,0.176,22.72727272727273,0.097,0.017,0.008,0.006,3.5,1.7,0.21,0.023,0.002,0.002,0.0005,0.425,3520.0
2013-01-26,,100.5,3.4,0.16699999999999998,20.359281437125752,0.123,0.01,0.0067,0.006,3.8,1.187,0.19,0.018,0.0007000000000000001,0.0019705882352941176,0.0002058823529411765,0.34911764705882353,4640.0
2013-03-29,,98.8,3.4,0.14100000000000001,24.113475177304963,0.131,0.008,0.008,0.005,4.0,2.554,0.28,0.021,0.003,0.0023529411764705885,0.0008823529411764706,0.7511764705882352,3900.0
2013-06-08,,78.1,7.4,0.197966,37.3801561884364,0.052273,0.009760999999999999,0.0094,0.005576800000000001,2.699,17.666,4.89,0.472,0.0038231999999999997,0.0012702702702702703,0.0005166486486486486,2.3872972972972972,28800.0
2013-07-18,,87.5,5.5,0.129243,42.55549623577293,0.072504,0.008253,0.0123,0.002134,3.304,12.485,3.79,0.297,0.010166,0.0022363636363636366,0.0018483636363636363,2.27,17500.0
2013-09-01,,94.6,4.6,0.297378,15.468528270416776,0.047155999999999997,0.005466,0.008199999999999999,0.0019336,3.187,5.521,1.77,0.243,0.006266399999999999,0.0017826086956521739,0.0013622608695652173,1.200217391304348,13400.0
2013-11-30,,105.8,4.9,0.161903,30.265035237148172,0.068552,0.009545,0.0074,0.0018851,3.753,0.995,0.22,0.022,0.0055149000000000005,0.001510204081632653,0.0011254897959183674,0.2030612244897959,3030.0
2014-02-01,,105.9,4.1,0.177473,23.10210567241214,0.11657200000000001,0.005955,0.0083,0.0018841,4.394,2.2,0.2,0.02,0.0064159,0.002024390243902439,0.0015648536585365857,0.5365853658536587,4560.0
2014-04-16,,102.8,4.1,0.205876,19.91490023120713,0.11981900000000001,0.004305,0.0116,0.0016683,3.788,1.189,0.31,0.034,0.0099317,0.0028292682926829267,0.0024223658536585368,0.29000000000000004,3490.0
2014-06-06,,80.6,7.0,0.246632,28.38236725161374,0.046866,0.006502,0.015300000000000001,0.0019498,3.776,9.631,3.91,0.365,0.013350200000000001,0.002185714285714286,0.0019071714285714288,1.375857142857143,19300.0
2014-08-09,,95.2,4.026,0.168022,23.961147944911975,0.059302,0.005876,0.003386,0.0016022,3.282,5.909,1.6,0.1712,0.0017838,0.0008410332836562345,0.000443070044709389,1.4677098857426727,12400.0
2014-10-13,,100.1,3.471,0.11259399999999999,30.827575181626024,0.057897,0.008808999999999999,0.00275,0.0012856,3.146,2.664,0.8,0.068,0.0014643999999999998,0.0007922788821665225,0.00042189570728896566,0.7675021607605877,8720.0
2014-12-24,,113.1,4.071,0.11964199999999998,34.02651242874576,0.10873300000000001,0.008324999999999999,0.002643,0.0014839,4.265,1.056,0.5,0.0434,0.0011591,0.0006492262343404569,0.0002847211987226726,0.25939572586588067,3660.0
2015-01-21,,112.1,3.624,0.104291,34.748923684689956,0.123655,0.005354,0.003199,0.0015821000000000001,3.918,2.248,0.2,0.0188,0.0016168999999999999,0.0008827262693156733,0.0004461644591611479,0.620309050772627,3470.0
2015-03-26,,105.1,3.452,0.08807799999999999,39.19253389041532,0.131748,0.009074,0.004263,0.0014735,3.854,1.946,0.2,0.0171,0.0027895000000000003,0.001234936268829664,0.0008080822711471612,0.563731170336037,3230.0
2015-04-24,,104.4,3.618,0.11850600000000003,30.530099741785218,0.126381,0.005413,0.003022,0.0012559000000000001,4.007,3.163,0.5,0.045399999999999996,0.0017660999999999998,0.0008352681039248204,0.00048814262023217243,0.8742399115533444,3660.0
2015-07-11,,89.87,3.94,0.126513,31.14304458830318,0.047795000000000004,0.006992,0.00145,0.0010937,2.951,8.98,1.7,0.14959999999999998,0.00035629999999999993,0.0003680203045685279,9.043147208121826e-05,2.2791878172588835,12900.0
2015-09-13,,100.02,5.19,0.140417,36.9613365902989,0.056406,0.007677,0.0033079999999999997,0.00125,3.545,8.46,1.7,0.1845,0.002058,0.0006373795761078998,0.00039653179190751443,1.630057803468208,13000.0
2015-11-17,,104.58,4.568,0.15525899999999998,29.42180485511307,0.067661,0.007980000000000001,0.002564,0.0013854,4.02,3.84,0.8,0.0915,0.0011786,0.0005612959719789842,0.0002580122591943958,0.840630472854641,5650.0
2016-01-31,,110.8,2.267,0.002689999999999998,842.7509293680304,0.126991,0.0065190000000000005,0.002154,0.0013797999999999998,4.492,0.97,0.1,0.0119,0.0007742000000000003,0.0009501543890604323,0.0003415086016762242,0.4278782531980591,3830.0
2016-04-23,,103.07,3.959,0.10290599999999997,38.47200357607915,0.130032,0.007562,0.003955,0.0013395,3.974,1.48,0.3,0.0252,0.0026155,0.0009989896438494569,0.0006606466279363476,0.37383177570093457,3450.0
2016-06-05,,82.78,5.163,0.166794,30.95435087593079,0.051584000000000005,0.005022,0.002489,0.0019642,3.25,9.61,1.6,0.2028,0.0005247999999999997,0.00048208405965523916,0.00010164632965330229,1.861320937439473,16300.0
2016-08-21,,98.28,3.757,0.11598699999999998,32.39156112322934,0.045002,0.004711,0.004957,0.00184,2.651,7.01,1.2,0.13219999999999998,0.0031169999999999995,0.001319403779611392,0.0008296513175405908,1.8658504125632152,11900.0
2016-10-02,,96.84,5.223,0.160362,32.570060238709914,0.044857,0.005381,0.003535,0.0018357,2.731,5.95,1.1,0.095,0.0016993,0.0006768140915182846,0.0003253494160444189,1.1391920352287959,11400.0
2016-12-01,,98.18,4.348,0.134796,32.25615003412564,0.066138,0.008266,0.005351,0.0020095,3.255,2.66,1.3,0.132,0.0033415,0.0012306807727690892,0.0007685142594296228,0.6117755289788409,3990.0
2017-02-22,,104.6,4.2,0.095,44.21052631578947,0.122,0.013,0.0038090000000000003,0.001,3.6,1.58,0.28,0.0215,0.0028090000000000003,0.000906904761904762,0.0006688095238095239,0.3761904761904762,3570.0
2017-04-25,,100.9,5.0,0.09,55.55555555555556,0.12,0.0,0.002297,0.001,3.1,2.11,0.2,0.0175,0.001297,0.0004594,0.0002594,0.422,4430.0
2017-06-29,,88.0,6.2,0.129,48.06201550387597,0.058,0.003,0.00188,0.001,3.7,8.88,2.98,0.364,0.0008799999999999999,0.0003032258064516129,0.00014193548387096772,1.4322580645161291,17000.0
2017-08-28,,99.7,4.4,0.112,39.285714285714285,0.046,0.002,0.001373,0.001,3.0,6.69,1.3,0.15719999999999998,0.00037300000000000007,0.00031204545454545455,8.477272727272728e-05,1.5204545454545455,10400.0
2017-11-28,,109.4,4.2,0.11699999999999999,35.8974358974359,0.081,0.012,0.0013340000000000001,0.001,3.1,3.27,0.23,0.023600000000000003,0.0003340000000000001,0.00031761904761904764,7.952380952380955e-05,0.7785714285714286,2630.0
2017-12-19,,106.7,4.8,0.195,24.615384615384613,0.093,0.042,0.003313,0.001,3.2,,0.19,0.014,0.002313,0.0006902083333333334,0.000481875,,4000.0
2018-02-19,,101.3,3.704,0.13956124,26.540320220714577,0.10882193999999999,0.00671682,0.0021000000000000003,0.0006313299999999999,2.67157,,0.1,0.013,0.0014686700000000005,0.0005669546436285098,0.00039650917926565887,,3770.0
2018-03-09,,,3.937,,,,0.00881268,0.0023,0.00091215,2.43793,,0.2,0.017,0.00138785,0.0005842011684023368,0.00035251460502921006,,3570.0
2018-05-03,,77.1,3.112,0.09211128,33.785221527699974,0.10468321,0.01030551,0.0024,0.00028988,2.27872,,0.17,0.019,0.0021101199999999996,0.0007712082262210796,0.0006780591259640101,,4000.0
2018-07-18,,86.2,5.387,0.15239249,35.349510989681974,0.04489514,0.00661237,0.0032,0.00075259,2.45133,,2.43,0.223,0.00244741,0.0005940226471134213,0.00045431780211620574,,13806.0
2018-09-19,,96.1,4.371,0.11737368000000001,37.240035415094766,0.043615839999999996,0.00361048,0.0025,0.00051645,2.17825,,0.65,0.081,0.00198355,0.000571951498512926,0.0004537977579501258,,9194.0
2018-11-27,,101.7,4.89,0.1447405,33.78460071645462,0.06938925,0.01517025,0.0048,0.00038562000000000004,2.51677,,0.11,0.015,0.00441438,0.00098159509202454,0.0009027361963190185,,2546.0
2019-02-07,,102.9,3.814,0.13832250000000001,27.573243687758676,0.10638979999999999,0.00048770000000000004,0.0013,0.0010738000000000002,2.6642,,0.09,0.012,0.00022619999999999975,0.00034084950183534347,5.93078133193497e-05,,3861.0
2019-04-16,,101.5,3.74,0.13302,28.11607277101188,0.1062027,0.0001773,0.0006,0.0010482,2.6458,,0.16,0.018,0.0,0.000160427807486631,0.0,,3958.0
2019-06-10,,80.6,5.366,0.1958591,27.397246285722744,0.044934199999999994,0.0010067,0.0024,0.001333,2.2727,,1.61,0.242,0.0010669999999999998,0.00044726052925829295,0.0001988445769660827,,14041.0
2019-09-12,,97.9,4.963,0.1472611,33.70204351318848,0.042416499999999996,0.0005224,0.0032,0.0012018,2.2962,,1.68,0.165,0.0019982000000000003,0.0006447713076768084,0.0004026193834374371,,11151.0
