Date,pH,Alk,DOC,DON,DOC_DON,NO3,NH4,TDP,PO4,SiO2,UTHg,POC,PON,DHP,TDP_DOC,DHP_DOC,UTHg_DOC,Q
2004-06-30,7.1000000000000005,16.599999999999998,8.576666666666666,0.18566666666666667,48.02398222502143,0.04,0.017666666666666667,0.012856666666666667,,4.156666666666666,,0.9400000000000001,0.24066666666666667,,0.0014997448263533266,,,16593.333333333332
2004-07-31,7.1,15.9,5.93,0.12100000000000001,49.00826446280991,0.045,0.034,0.00877,,5.57,,0.51,0.127,,0.001478920741989882,,,9026.774193548386
2004-08-31,7.7,22.9,4.140000000000001,0.1145,36.14831804281346,0.046,0.0045,0.00745,,5.955,,0.535,0.14850000000000002,,0.0018046129002059538,,,7231.935483870968
2004-09-30,7.8,38.6,3.9,0.107,36.44859813084112,0.032,0.011,0.00679,,6.09,,0.66,0.162,,0.001741025641025641,,,5285.0
2005-04-30,6.0,25.8,3.15,0.03999999999999998,78.75000000000004,0.14,0.0,0.00447,,8.04,,0.57,0.088,,0.001419047619047619,,,363.7
2005-06-30,7.4,22.0,5.73,0.20800000000000002,27.548076923076923,0.031,0.011,0.00514,,5.51,,0.63,0.141,,0.0008970331588132634,,,8389.0
2005-07-31,7.7,27.1,4.41,0.09999999999999999,44.10000000000001,0.066,0.014,0.00679,,5.89,,1.46,0.31,,0.0015396825396825397,,,5625.1612903225805
2005-08-31,7.6,34.35,7.11,0.135,52.502059421165356,0.035,0.01,0.007945,,5.04,,1.27,0.28,,0.0011222322966724092,,,6945.1612903225805
2005-09-30,7.45,27.6,6.015000000000001,0.16799999999999998,35.73541932737335,0.041999999999999996,0.0,0.00977,,6.305,,0.51,0.1005,,0.0016618181311639827,,,5535.333333333333
2006-07-31,6.9,23.2,8.66,0.019000000000000017,455.7894736842101,0.141,0.0,0.0071200000000000005,,5.23,,0.37,0.052,,0.0008221709006928407,,,6813.870967741936
2006-11-30,7.0,28.0,7.22,0.137,52.700729927007295,0.025,0.018,0.009439999999999999,,7.21,,0.08,0.013,,0.0013074792243767312,,,1160.0
2009-06-30,7.766666666666667,21.399999999999995,8.433333333333332,0.2866666666666667,29.131501187535545,0.028,0.005333333333333333,0.008666666666666668,0.004,3.766666666666667,,0.9666666666666667,0.09200000000000001,0.004666666666666667,0.0010620805985291967,0.0005725016416605202,,9957.666666666666
2009-09-30,7.3,19.8,3.9,0.14500000000000002,26.89655172413793,0.036,0.009,0.0067,0.003,4.8,,0.84,0.091,0.0037,0.001717948717948718,0.0009487179487179488,,6447.666666666667
2009-11-30,6.8,28.8,2.6,0.09,28.88888888888889,0.055,0.005,0.011300000000000001,0.002,6.5,,0.2,0.027,0.009300000000000001,0.004346153846153847,0.0035769230769230774,,1194.924798794899
2010-05-31,7.3,28.4,18.4,0.437,42.10526315789473,0.041,0.012,0.0165,0.007,2.9,,1.52,0.203,0.009500000000000001,0.0008967391304347827,0.000516304347826087,,3604.4193548387098
2010-06-30,7.25,25.1,10.5,0.2735,38.28940992785614,0.020999999999999998,0.0105,0.018000000000000002,0.0045000000000000005,3.5999999999999996,,1.195,0.1505,0.0135,0.0017204301075268817,0.0012917011304108077,,8609.666666666666
2010-09-30,7.9,30.2,3.5,0.08600000000000001,40.69767441860465,0.021,0.033,0.013900000000000001,0.004,5.3,,1.32,0.135,0.0099,0.003971428571428572,0.002828571428571429,,8217.666666666666
2010-11-30,7.9,34.2,5.9,0.189,31.21693121693122,0.07,0.021,0.0159,0.004,6.6,,0.33,0.017,0.0119,0.0026949152542372883,0.002016949152542373,,1880.3285627572347
2011-06-30,7.166666666666667,27.46666666666667,11.433333333333332,0.2046666666666667,56.14118966095103,0.02033333333333333,0.024999999999999998,0.014950000000000001,,3.1333333333333333,,3.026666666666667,0.431,,0.001534232909797333,,,19074.633333333335
2011-09-30,7.8,17.5,4.2,0.095,44.21052631578947,0.055,0.01,0.006900000000000001,0.006,5.8,,0.95,0.085,0.0009000000000000006,0.001642857142857143,0.00021428571428571444,,8656.666666666666
2011-11-30,8.2,35.2,5.2,0.135,38.51851851851852,0.052,0.003,0.006,0.006,6.4,,0.22,0.022,0.0,0.0011538461538461537,0.0,,831.8666666666667
2012-06-30,,20.5,4.7,0.16,29.375,0.001,0.009,0.01358,0.009,4.4,4.84,0.55,0.06,0.004580000000000001,0.0028893617021276594,0.0009744680851063831,1.0297872340425531,9056.666666666666
2012-08-31,,24.5,4.6,0.173,26.589595375722542,0.007,0.01,0.02988,0.009,5.7,3.35,1.1,0.101,0.020880000000000003,0.006495652173913044,0.00453913043478261,0.7282608695652175,4694.8387096774195
2012-10-31,,26.7,3.4,0.125,27.2,0.037,0.008,0.01847,0.006,6.2,2.27,0.27,0.029,0.01247,0.005432352941176471,0.0036676470588235294,0.6676470588235295,1677.6451612903227
2012-12-31,,36.9,2.9,0.16599999999999998,17.46987951807229,0.07,0.014,0.01684,0.005,6.7,1.89,0.11,0.014,0.01184,0.005806896551724138,0.004082758620689656,0.6517241379310345,215.96774193548387
2013-03-31,,34.9,2.7,0.273,9.89010989010989,0.134,0.033,0.011949999999999999,0.006,8.1,2.02,0.3,0.038,0.005949999999999999,0.004425925925925925,0.002203703703703703,0.7481481481481481,150.1290322580645
2013-05-31,,31.2,2.5,0.132,18.939393939393938,0.126,0.012,0.015210000000000001,0.005,7.2,2.55,0.28,0.031,0.01021,0.006084000000000001,0.004084,1.02,5561.4838709677415
2013-07-31,,,5.1,0.112,45.535714285714285,0.011,0.007,0.011949999999999999,0.004,4.907,11.36,0.72,0.078,0.007949999999999999,0.0023431372549019606,0.0015588235294117646,2.227450980392157,5936.774193548387
2013-09-30,,21.6,6.2,0.179,34.63687150837989,0.039,0.012,0.01684,0.004,5.67,7.51,0.65,0.064,0.01284,0.0027161290322580646,0.002070967741935484,1.211290322580645,9611.333333333334
2013-11-30,,28.3,5.9,0.198,29.7979797979798,0.055,0.017,0.01358,0.006,6.93,5.2,0.18,0.02,0.00758,0.002301694915254237,0.0012847457627118643,0.8813559322033898,560.4333333333333
2014-02-28,,28.5,3.8,0.136,27.941176470588232,0.13,0.014,0.011949999999999999,0.004,7.859,4.31,0.09,0.009,0.007949999999999999,0.003144736842105263,0.0020921052631578947,1.1342105263157893,180.89285714285714
2014-04-30,,37.6,3.0,0.126,23.80952380952381,0.098,0.016,0.01414,0.003,7.648,5.32,0.15,0.013,0.01114,0.004713333333333333,0.0037133333333333337,1.7733333333333334,172.63333333333333
2014-06-30,,36.1,8.3,0.16899999999999998,49.11242603550297,0.016,0.035,0.037700000000000004,0.013,1.632,24.45,2.47,0.224,0.024700000000000007,0.004542168674698795,0.002975903614457832,2.9457831325301203,21468.766666666666
2014-08-31,,21.2,5.4,0.105,51.42857142857143,0.033,0.012,0.030420000000000003,0.004,4.854,5.39,0.81,0.077,0.026420000000000003,0.005633333333333333,0.0048925925925925925,0.998148148148148,9326.129032258064
2014-10-31,,27.7,3.208,0.092587,34.648492768963244,0.002761,0.005752,0.002013,0.0024952999999999998,5.589,2.78,0.31,0.0291,0.0,0.0006274937655860349,0.0,0.8665835411471321,1660.1935483870968
2014-12-31,,34.7,2.982,0.080455,37.06419737741595,0.07442,0.017525,0.002189,0.0023953000000000004,5.541,1.63,0.1,0.053700000000000005,0.0,0.0007340710932260227,0.0,0.5466130114017437,327.83870967741933
2015-01-31,,37.6,3.309,0.274315,12.062774547509251,0.112275,0.05891,0.004214000000000001,0.0030547,6.838,1.7,0.19,0.038799999999999994,0.0011593000000000007,0.0012734965246297978,0.000350347537020248,0.5137503777576307,278.0
2015-03-31,,46.9,2.602,0.08706,29.88743395359522,0.138321,0.013219,0.0025,0.002664,7.303,2.15,0.11,0.0109,0.0,0.0009607993850883936,0.0,0.8262874711760184,198.4516129032258
2015-05-31,,39.5,2.799,0.18288300000000002,15.304867046144254,0.13627099999999998,0.027146,0.0026669999999999997,0.0024287,6.396,2.59,0.12,0.0159,0.00023829999999999945,0.000952840300107181,8.513754912468719e-05,0.9253304751697035,270.38709677419354
2015-07-31,,39.5,3.868,0.116982,33.06491596997829,0.002722,0.004796,0.003018,0.0021084,4.98,4.7,0.45,0.0702,0.0009096,0.000780248190279214,0.00023516028955532575,1.2150982419855223,5389.032258064516
