Date,pH,Alk,DOC,DON,DOC_DON,NO3,NH4,TDP,PO4,SiO2,UTHg,POC,PON,DHP,TDP_DOC,DHP_DOC,UTHg_DOC,Q
2003-08-31,7.8,39.9,5.2,0.19078,27.256525841283153,0.01261,0.026609999999999998,0.009439999999999999,,4.05,,2.21,0.18489,,0.001815384615384615,,,20290.0
2004-04-30,7.3,71.1,6.7,0.11823999999999998,56.66441136671178,0.22411,0.01765,0.01803,,7.97,,0.16,0.01821,,0.002691044776119403,,,1057.3333333333333
2004-06-30,7.6,35.3,13.61,0.36071,38.01021217132923,0.031515,0.032775,0.012905,,3.495,,3.92,0.37818,,0.0009826268376061866,,,73416.66666666667
2004-08-31,7.6,37.4,6.605,0.140295,47.13413408919898,0.014705,0.0,0.0058,,5.06,,0.73,0.13586499999999999,,0.0008775855744319876,,,29309.677419354837
2004-10-31,8.1,35.900000000000006,7.01,0.14350000000000002,49.19878861276346,0.041319999999999996,0.00518,0.005795,,6.46,,0.5900000000000001,0.093845,,0.0008158609312761713,,,18701.290322580644
2005-03-31,7.7,49.9,8.41,0.18850000000000003,44.615384615384606,0.2115,0.0,0.0101,,7.34,,0.08,0.009800000000000001,,0.001200951248513674,,,3454.1935483870966
2005-05-31,7.6,38.9,14.81,0.3545,41.77715091678421,0.03642,0.03908,0.01737,,3.54,,1.95,0.25772,,0.0011728561782579337,,,20344.516129032258
2005-06-30,7.6,36.1,14.51,0.29176,49.732656978338355,0.02521,0.01303,0.014060000000000001,,3.72,,1.34,0.17228,,0.0009689869055823571,,,66116.66666666667
2005-08-31,7.800000000000001,36.1,8.5,0.194855,43.73574113015282,0.01961,0.005535,0.006625,,5.48,,0.95,0.16948000000000002,,0.0007796978935698448,,,36712.903225806454
2005-10-31,8.1,43.25,7.15,0.153305,47.04274303491077,0.02941,0.007285,0.005469999999999999,,6.49,,0.855,0.11065,,0.0007644031311154598,,,16691.935483870966
2006-06-30,7.7,36.9,13.66,0.35294000000000003,38.70346234487448,0.02941,0.01765,0.01638,,3.32,,2.15,0.19469,,0.001199121522693997,,,82896.66666666667
2006-11-30,7.8,65.7,8.77,0.1999,43.871935967983994,0.07424,0.035859999999999996,0.0071200000000000005,,8.17,,0.19,0.01681,,0.0008118586088939568,,,4922.0
2009-06-30,7.599999999999999,33.333333333333336,15.700000000000001,0.41,38.33324599767553,0.010333333333333333,0.009666666666666665,0.0147,0.011000000000000001,3.533333333333333,,1.97,0.17633333333333334,0.005200000000000001,0.0008952411898241171,0.0003049900199600799,,87940.0
2009-08-31,7.7,44.9,6.8,0.192,35.416666666666664,0.023,0.015,0.0067,0.008,4.7,,1.05,0.115,0.0,0.0009852941176470588,0.0,,27122.58064516129
2009-11-30,7.7,66.2,7.7,0.267,28.83895131086142,0.053,0.02,0.0016,0.008,8.3,,0.2,0.029,0.0,0.0002077922077922078,0.0,,5726.666666666667
2010-06-30,7.433333333333334,39.36666666666667,15.766666666666666,0.5193333333333333,30.252094711058437,0.014,0.01,0.0173,0.007,3.8000000000000003,,1.4100000000000001,0.17933333333333334,0.010300000000000002,0.0011056340949745346,0.0006582766556117656,,66013.33333333333
2010-09-30,7.6,49.2,8.0,0.309,25.889967637540455,0.036,0.005,0.012,0.003,4.6,,0.87,0.161,0.009000000000000001,0.0015,0.0011250000000000001,,25463.333333333332
2010-11-30,7.2,71.3,11.6,0.369,31.43631436314363,0.071,0.03,0.0182,0.006,6.5,,0.21,0.035,0.0122,0.0015689655172413794,0.0010517241379310346,,3569.0
2011-05-31,7.4,35.2,23.4,0.361,64.81994459833795,0.019,0.01,0.0181,0.016,3.5,,1.77,0.208,0.002100000000000001,0.0007735042735042736,8.97435897435898e-05,,22661.290322580644
2011-06-30,7.6,42.45,17.55,0.28600000000000003,61.70917583430643,0.0235,0.0005,0.01245,0.011,3.25,,1.37,0.1795,0.0014500000000000008,0.0007096428571428571,8.28571428571429e-05,,47960.0
2011-09-30,8.0,55.7,8.2,0.22499999999999998,36.44444444444444,0.006,0.009,0.0065,0.007,5.2,,1.71,0.161,0.0,0.0007926829268292683,0.0,,23456.666666666668
2011-11-30,,69.4,7.1,0.127,55.905511811023615,0.062,0.011,0.006,0.005,6.6,,0.15,0.044,0.001,0.0008450704225352113,0.00014084507042253522,,5727.666666666667
2012-06-30,,33.25625,18.5,0.5439999999999999,34.00735294117648,0.011,0.015,0.02565,0.011,3.3,10.357,,,0.01465,0.0013864864864864864,0.0007918918918918919,0.5598378378378378,64155.666666666664
2012-08-31,,,,,,,,,,,4.727,0.99,0.1157,,,,,34932.25806451613
2012-10-31,,52.5178,6.3,0.187,33.68983957219251,0.034,0.009,0.016370000000000003,0.006,6.0,5.56,0.34,0.0396,0.010370000000000002,0.002598412698412699,0.0016460317460317464,0.8825396825396825,17888.16129032258
2012-12-31,,72.47885000000001,6.2,0.203,30.541871921182263,0.088,0.019,0.01413,0.008,7.5,2.766,0.11,0.0111,0.00613,0.0022790322580645162,0.0009887096774193547,0.4461290322580645,3158.935483870968
2013-01-31,,66.75569999999999,8.8,0.29900000000000004,29.4314381270903,0.132,0.019,0.01653,0.011,7.5,3.026,0.12,0.0115,0.00553,0.0018784090909090907,0.0006284090909090909,0.3438636363636363,4762.903225806452
2013-04-30,,81.32225,4.8,0.14700000000000002,32.65306122448979,0.156,0.017,0.01331,0.005,7.9,7.551,0.1,0.0108,0.008310000000000001,0.002772916666666667,0.0017312500000000004,1.573125,2246.3333333333335
2013-06-30,,28.9697,13.8,0.38399999999999995,35.93750000000001,0.01,0.016,0.018449999999999998,0.003,2.7,13.64,1.4,0.1281,0.015449999999999998,0.0013369565217391302,0.0011195652173913043,0.9884057971014493,62100.0
2013-08-31,,43.698,11.2,0.209,53.58851674641148,0.006,0.025,0.016050000000000002,0.004,4.4,12.557,1.46,0.1726,0.012050000000000002,0.0014330357142857146,0.0010758928571428573,1.1211607142857143,47679.032258064515
2013-09-30,,61.12645,6.9,0.18700000000000003,36.898395721925134,0.088,0.005,0.01781,0.003,5.5,8.691,0.68,0.075,0.01481,0.002581159420289855,0.0021463768115942026,1.2595652173913043,32733.333333333332
2013-11-30,,73.3426,8.7,0.17800000000000002,48.876404494382015,0.07,0.022,0.01701,0.002,7.3,3.6,0.16,0.015099999999999999,0.01501,0.0019551724137931038,0.0017252873563218393,0.4137931034482759,3911.6666666666665
2014-02-28,,78.9005,9.1,0.256,35.546875,0.182,0.022,0.01797,0.003,7.3,2.57,0.14,0.0141,0.01497,0.0019747252747252747,0.0016450549450549453,0.2824175824175824,3930.0
2014-04-30,,66.89725,6.6,0.20500000000000002,32.195121951219505,0.214,0.031,0.01957,0.003,6.7,2.172,0.23,0.0183,0.01657,0.0029651515151515153,0.002510606060606061,0.32909090909090916,2377.0
2014-06-30,,36.07225,23.5,0.5609999999999999,41.889483065953655,0.007,0.012,0.02757,0.004,3.3,13.184,0.86,0.092,0.02357,0.001173191489361702,0.0010029787234042554,0.5610212765957446,59013.333333333336
2014-08-31,,36.147400000000005,6.0,0.11300000000000002,53.09734513274336,0.055,0.032,0.01893,0.003,4.7,9.254,0.68,0.0746,0.01593,0.003155,0.002655,1.5423333333333333,26129.032258064515
2014-11-30,,61.65595,5.854,0.260831,22.443651253110254,0.060476,0.013093,0.010339000000000001,0.0023682,6.323,1.686,0.15,0.019100000000000002,0.0079708,0.0017661428083361806,0.0013615989067304406,0.28800819952169454,3072.0
2014-12-31,,78.93740000000001,4.348,0.083735,51.925718039051766,0.08759099999999999,0.014674,0.001609,0.0024799,6.847,2.232,0.09,0.0091,0.0,0.0003700551977920883,0.0,0.5133394664213432,3397.7419354838707
2015-01-31,,67.8541,8.683,0.190163,45.66082781613668,0.125945,0.019992,0.004296,0.0032587000000000002,6.813,2.379,0.12,0.0136,0.0010373000000000001,0.0004947598756190257,0.0001194633191293332,0.27398364620522864,3701.3870967741937
2015-03-31,,87.04169999999999,5.249,0.10128800000000002,51.82252586683515,0.18934800000000002,0.012564,0.005691,0.0029897,6.799,2.027,0.09,0.0111,0.0027013,0.001084206515526767,0.0005146313583539721,0.38616879405601073,2338.516129032258
2015-05-31,,90.7437,4.78,0.11424999999999996,41.83807439824947,0.19082400000000002,0.013526,0.003891,0.0031536,6.089,2.51,0.25,0.0175,0.0007374,0.0008140167364016736,0.00015426778242677824,0.5251046025104602,24251.548387096773
2015-07-31,,36.1669,8.201,0.210471,38.9649880506103,0.00273,0.003899,0.0063609999999999995,0.0037399,4.325,13.021,0.9,0.1138,0.0026210999999999995,0.0007756371174247042,0.00031960736495549314,1.5877332032678941,41103.22580645161
2015-09-30,,69.013,6.962,0.186886,37.2526566998063,0.002226,0.004288,0.005403,0.0022505999999999997,5.377,8.247,0.83,0.119,0.0031524,0.0007760700948003448,0.00045280091927607014,1.1845733984487217,18303.333333333332
2015-12-31,,74.96,3.198,0.17826000000000003,17.94008751262201,0.08089149999999999,0.009948499999999999,0.0037170000000000003,0.006332,5.821,7.18,0.11,0.0119,0.0,0.0011622889305816135,0.0,2.245153220762977,3217.4193548387098
2016-03-31,,86.08,5.883,0.0982665,59.867808459647996,0.1731555,0.024478000000000003,0.003311,0.01105,6.6845,10.35,0.21,0.0192,0.0,0.0005628080911099779,0.0,1.7593064762876083,2225.8064516129034
2016-04-30,,88.93,5.438,0.12413950000000001,43.80555745753768,0.1822685,0.023692,0.003395,0.010361,6.7675,6.87,0.15,0.0144,0.0,0.0006243104082383229,0.0,1.2633321073924237,1886.0
2016-07-31,,40.27,7.576,0.185812,40.77239360213549,0.0,0.007788000000000001,0.004963,0.009566000000000002,4.1075,3.33,0.61,0.0684,0.0,0.0006550950369588174,0.0,0.43954593453009505,39859.67741935484
2016-08-31,,40.24,7.068,0.2146795,32.923497585936246,0.000165,0.0101555,0.004346,0.008128,4.0645,21.12,0.71,0.0992,0.0,0.0006148839841539332,0.0,2.9881154499151106,41714.51612903226
2016-10-31,,58.32,6.614,0.1635635,40.43689453942964,0.051633000000000005,0.0098035,0.001866,0.007875,6.052,5.09,0.17,0.024,0.0,0.0002821288176595101,0.0,0.7695796794677956,15363.870967741936
2016-12-31,,83.86,4.604,0.0703875,65.40934114722074,0.0984585,0.008254,0.002213,0.0080195,6.225,2.18,0.09,0.011300000000000001,0.0,0.00048066898349261516,0.0,0.47350130321459605,5061.612903225807
2017-03-31,,97.0,5.8,0.142,40.845070422535215,0.18,0.028,0.006235999999999999,0.002,7.1,3.88,0.15,0.013099999999999999,0.004235999999999999,0.0010751724137931034,0.0007303448275862068,0.6689655172413793,2454.1935483870966
2017-04-30,,94.3,5.8,0.24599999999999997,23.577235772357724,0.191,0.033,0.007571,0.002,5.9,5.75,0.14,0.0126,0.0055709999999999996,0.0013053448275862068,0.0009605172413793103,0.9913793103448276,2107.6666666666665
2017-07-31,,44.7,6.6,0.19599999999999998,33.673469387755105,0.004,0.01,0.004864,0.002,3.8,14.26,0.76,0.106,0.0028640000000000002,0.0007369696969696971,0.000433939393939394,2.1606060606060606,32282.25806451613
2017-08-31,,47.0,4.4,0.264,16.666666666666668,0.003,0.013,0.004687,0.001,4.2,7.65,0.52,0.0818,0.003687,0.0010652272727272726,0.0008379545454545454,1.7386363636363635,27919.354838709678
2017-11-30,,52.9,8.0,0.158,50.63291139240506,0.048,0.024,0.0064,0.002,7.0,3.97,0.15,0.0198,0.0044,0.0008,0.00055,0.49625,5778.333333333333
2017-12-31,,69.1,10.1,0.23600000000000004,42.796610169491515,0.09,0.014,0.005474000000000001,0.002,6.1,6.04,0.12,0.0169,0.0034740000000000005,0.000541980198019802,0.00034396039603960403,0.598019801980198,5231.612903225807
2018-01-31,,64.1,9.873,0.27989253999999997,35.27425203972925,0.09863629,0.02367117,0.0058,0.00206733,4.07464,,0.09,0.013,0.0037326699999999996,0.0005874607515446166,0.0003780684695634559,,3239.3548387096776
2018-03-31,,80.2,7.303,0.19622183,37.21808118902978,0.15446578,0.02421239,0.0056,0.00235133,4.33057,,0.13,0.014,0.00324867,0.0007668081610297138,0.0004448404765165001,,2374.516129032258
2018-05-31,,80.1,6.632,0.14102968,47.025562278805424,0.13277893,0.02019139,0.006900000000000001,0.00238644,4.31549,,0.15,0.013,0.004513560000000001,0.0010404101326899882,0.0006805729794933656,,8972.58064516129
2018-07-31,,40.8,6.364,0.168,37.88095238095238,0.0,0.0,0.0032,0.00248217,2.82302,,1.07,0.153,0.00071783,0.000502828409805154,0.00011279541169076054,,43313.54838709677
2018-10-31,,57.8,8.651,0.19898831,43.47491568725821,0.00333294,0.0033787500000000002,0.0038,0.00124083,3.61141,,0.54,0.072,0.00255917,0.0004392555773898971,0.00029582360420760606,,21541.612903225807
2018-12-31,,74.1,7.808,0.20830359,37.48375148023133,0.05688955,0.02450686,0.0054,0.00147378,4.54841,,0.16,0.021,0.00392622,0.0006915983606557378,0.000502845799180328,,4240.322580645161
2019-02-28,,73.9,7.857,0.1946087,40.373323494787236,0.1410993,0.005492,0.0073,0.0031671,4.2628,,0.13,0.016,0.0041329,0.0009291078019600356,0.000526015018454881,,5911.071428571428
2019-04-30,,80.7,6.75,0.18594200000000002,36.30164244764496,0.14064279999999998,0.0070152,0.0087,0.0029014,4.0821,,0.15,0.016,0.005798599999999999,0.001288888888888889,0.0008590518518518518,,3451.0
2019-06-30,,39.2,19.06,0.5068986,37.60120860464006,0.0056271,0.0009743000000000001,0.0154,0.0042394,2.4777,,0.89,0.118,0.0111606,0.00080797481636936,0.0005855508919202519,,57493.333333333336
2019-08-31,,40.3,10.99,0.261034,42.10179516844549,0.0027329,0.0007331,0.0099,0.004201,2.7188,,0.7,0.118,0.005699000000000001,0.0009008189262966333,0.0005185623293903549,,16874.1935483871
